0, 0, 1
0.006, 0.0025744890644805937, 0.01
0.018, 0.008800681738126063, 0.01
0.0315, 0.017604891926747256, 0.01
0.0375, 0.022156608543387673, 0.01
0.057, 0.03979174990262597, 0.01
0.0615, 0.04449670135437683, 0.01
0.0825, 0.06969494706033835, 0.01
0.0855, 0.07373397335848812, 0.01
0.1080, 0.10749175311113439, 0.01
0.1305, 0.1470632422662206, 0.01
0.132, 0.1498912253033353, 0.01
0.138, 0.16142137467661075, 0.01
0.1575, 0.20106801375815048, 0.01
0.1815, 0.25337327376903673, 0.01
0.183, 0.25673271489026145, 0.01
0.1905, 0.2736383461512539, 0.01
0.207, 0.3112414666328744, 0.01
0.228, 0.35918123229242543, 0.01
0.2325, 0.3693765202012353, 0.01
0.24, 0.3862605840038842, 0.01
0.2565, 0.42278190226267964, 0.01
0.2775, 0.4676545158685433, 0.01
0.282, 0.4769975403619235, 0.01
0.285, 0.4831690379173738, 0.01
0.3075, 0.5279301476887074, 0.01
0.312, 0.5365493001347436, 0.01
0.333, 0.5752677783054396, 0.01
0.3345, 0.5779382784746886, 0.01
0.357, 0.6164854652123999, 0.01
0.3615, 0.6238588570030654, 0.01
0.381, 0.6545488155479711, 0.01
0.3855, 0.6613457244454409, 0.01
0.408, 0.6937832514875875, 0.01
0.411, 0.6979184909366691, 0.01
0.432, 0.7256680560681005, 0.01
0.435, 0.7294657173197999, 0.01
0.4575, 0.7566816186681034, 0.01
0.4605, 0.7601464175034007, 0.01
0.4815, 0.7833708437829798, 0.01
0.4845, 0.7865457166873773, 0.01
0.507, 0.8092730711780024, 0.01
0.516, 0.8178474269316639, 0.01
0.531, 0.8315134133918255, 0.01
0.5415, 0.8406314923252136, 0.01
0.5565, 0.8530434719250994, 0.01
0.567, 0.8613177480789643, 0.01
0.582, 0.8725703772745333, 0.01
0.5865, 0.8758197841035271, 0.01
0.6075, 0.8902427264354179, 0.01
0.6195, 0.8979561523571988, 0.01
0.633, 0.9061946870459162, 0.01
0.6585, 0.9205473442181448, 0.01
0.6615, 0.9221359337453442, 0.01
0.6825, 0.932692835318162, 0.01
0.702, 0.9416465769689515, 0.01
0.708, 0.9442436804950122, 0.01
0.7125, 0.9461439988171603, 0.01
0.732, 0.9539199713699519, 0.01
0.753, 0.9614911601805441, 0.01
0.7575, 0.9630091847211052, 0.01
0.765, 0.9654595332510545, 0.01
0.783, 0.970943536267699, 0.01
0.807, 0.9774171991929265, 0.01
0.8085, 0.977791046919049, 0.01
0.819, 0.9803094106485579, 0.01
0.8325, 0.9832986277610507, 0.01
0.849, 0.9865833962533558, 0.01
0.858, 0.9882089342505554, 0.01
0.8655, 0.9894760614401057, 0.01
0.882, 0.9919902453017706, 0.01
0.9, 0.9943164774845564, 0.01
0.909, 0.9953214237326227, 0.01
0.9105, 0.9954788601847022, 0.01
0.933, 0.99750319658044, 0.01
0.951, 0.9986798485145716, 0.01
0.9585, 0.9990575327996823, 0.01
0.9615, 0.9991903997650854, 0.01
0.984, 0.9998621206354336, 0.01
1, 1, 1
